city,state_id,lat,lng,population,timezone,military
Oak Trail Shores,TX,32.4885,-97.8357,3101,America/Chicago,False
Acres Green,CO,39.5558,-104.8958,3100,America/Denver,False
Vado,NM,32.1279,-106.6571,3099,America/Denver,False
Olney,TX,33.3643,-98.7584,3099,America/Chicago,False
Federalsburg,MD,38.6928,-75.7727,3098,America/New_York,False
Bonny Doon,CA,37.0435,-122.1369,3096,America/Los_Angeles,False
Checotah,OK,35.4821,-95.5224,3095,America/Chicago,False
Sloatsburg,NY,41.162,-74.1902,3095,America/New_York,False
Dahlgren,VA,38.3444,-77.0624,3093,America/New_York,False
Lodi,WI,43.3154,-89.5366,3092,America/Chicago,False
Ocean Grove,MA,41.7281,-71.2098,3092,America/New_York,False
Buffalo,MO,37.6444,-93.0969,3091,America/Chicago,False
Cadiz,KY,36.8695,-87.8048,3090,America/Chicago,False
McSherrystown,PA,39.8035,-77.0199,3090,America/New_York,False
Morongo Valley,CA,34.0724,-116.5627,3090,America/Los_Angeles,False
Warsaw,NC,34.9987,-78.0926,3089,America/New_York,False
Brownstown,IN,38.8789,-86.0479,3089,America/Indiana/Indianapolis,False
Greenwood Lake,NY,41.2215,-74.2891,3088,America/New_York,False
Eagle Lake,MN,44.1616,-93.8846,3087,America/Chicago,False
Fiskdale,MA,42.1227,-72.1087,3087,America/New_York,False
East Rockingham,NC,34.9116,-79.766,3086,America/New_York,False
Chandler,OK,35.7237,-96.8951,3085,America/Chicago,False
Red Bay,AL,34.4358,-88.1362,3085,America/Chicago,False
Sonora,TX,30.5706,-100.642,3084,America/Chicago,False
Filer,ID,42.5679,-114.6115,3083,America/Boise,False
Watertown,FL,30.1855,-82.6026,3082,America/New_York,False
Tishomingo,OK,34.2387,-96.6805,3082,America/Chicago,False
